prompt,completion,
棒棒腿、老薑、蒜頭、辣椒、九層塔,"三杯醬
 食材：棒棒腿，老薑，蒜頭，辣椒，九層塔
 調味料：A.醬油膏，麻油，糖，米酒，水，B.太白粉水
 作法：1.將棒棒腿去骨，切成小丁狀；老薑、蒜頭、辣椒皆切成片狀，備用。2.熱一炒鍋，加入麻油，放入作法1的雞肉丁，以大火炒香，接著放入作法1其他材料炒勻。3.在作法2鍋中加入所有調味料A，轉中火燴煮約5分鐘，起鍋前加入九層塔，再以太白粉水勾薄芡即完成。",
九層塔、雞腿肉塊、蒜頭、辣椒段、老薑片、蔥段、黑麻油,"三杯雞
 食材：九層塔，雞腿肉塊，蒜頭，辣椒段，老薑片，蔥段，黑麻油
 調味料：A.BB辣醬，海山醬，豆瓣醬，B.醬油膏，黑醋，米酒，細糖
 作法：1.備油鍋油溫約180度，將雞腿肉塊炸至金黃後撈起瀝油，備用。2.熱鍋放入黑麻油、老薑片，小火煸至老薑片變焦黃有香氣，再放入作法1的雞腿肉與辣椒段、蔥段、蒜頭炒香後，放入調味料A煸炒。3.續作法2炒香後，再放入調味料B炒勻，蓋上鍋蓋悶煮約2分鐘，加入九層塔拌勻即可。",
土雞、蒜頭、薑片、蔥段、紅辣椒塊、九層塔,"三杯雞
 食材：土雞，蒜頭，薑片，蔥段，紅辣椒塊，九層塔
 調味料：辣椒醬，醬油，料理米酒，糖，水
 作法：1.土雞剁成塊，放入油鍋中炒香後撈起備用。2.續將蒜頭、薑片、紅辣椒塊放入作法1鍋中炒香，再放入作法1的土雞塊、所有調味料翻炒，蓋上鍋蓋燜煮至湯汁略收乾。3.起鍋前加入九層塔再以大火收汁即可。",
土雞、薑片、蒜、辣椒、蔥,"三杯雞
 食材：土雞，薑片，蒜，辣椒，蔥
 調味料：麻油，醬油，細冰糖，米酒，桂枝，辣椒粉，五香粉，茄汁，胡椒，烏醋
 作法：1.土雞洗淨、去毛根；辣椒切段，蔥切段。2.將作法1的土雞切塊；先切下頭、腳並將腳趾切除，再切開身體，分別切塊。3.將爆香料薑片、蒜粒、辣椒段、蔥段鋪在三杯鍋底。4.將作法2剁好的土雞肉放入鍋內。5.加入所有調味料。6.鍋子不蓋鍋蓋，用大火炒約15分鐘。7.收汁前，放入九層塔一起拌勻，再蓋上鍋蓋。8.少許米酒往鍋蓋上淋，嗆出味道，即可熄火；端上桌後，再打開鍋蓋，倒入一點米酒，攪拌均勻即可。",
土雞腿肉、薑、紅辣椒、九層塔,"三杯雞
 食材：土雞腿肉，薑，紅辣椒，九層塔
 調味料：胡麻油，三杯醬，米酒，水
 作法：1.雞腿洗淨剁小塊備用。2.薑洗淨切片；紅辣椒洗淨剖半；九層塔挑去粗莖洗淨，備用。3.熱鍋，加入胡麻油以小火爆香薑片及紅辣椒後，放入作法1的雞腿塊大火炒至雞腿肉表面變白後加入三杯醬、米酒和水，改轉小火煮至湯汁略收乾後，再加入九層塔葉略拌炒即可。",
土雞腿肉、薑、紅辣椒、九層塔,"三杯雞
 食材：土雞腿肉，薑，紅辣椒，九層塔
 調味料：醬油，胡麻油，醬油膏，細糖，太白粉，米酒
 作法：1.雞腿洗淨剁成小塊。薑切片、紅辣椒剖半、九層塔挑去粗莖洗淨，備用。2.將雞腿肉塊放入微波碗中，加入醬油拌勻後蓋上保鮮膜，兩邊各留縫隙排氣。3.把作法2的微波碗放入微波爐內，以800W微波4分鐘後取出，撕去保鮮膜，瀝乾水份備用。4.另取一微波碗，放入薑片及紅辣椒，加入胡麻油拌勻後，放入微波爐微波2分鐘爆香。5.取出作法4的碗，放入作法3的雞腿肉塊，加入醬油膏、細糖、米酒、太白粉及九層塔葉拌勻。蓋上保鮮膜，兩邊各留縫隙排氣。6.將作法5的碗放入微波爐內，以800W微波3分鐘後取出，撕去保鮮膜拌勻後裝盤即可。",
白斬雞肉、蒜頭、薑片、九層塔、沙拉油,"三杯雞
 食材：白斬雞肉，蒜頭，薑片，九層塔，沙拉油
 調味料：醬油，砂糖，米酒，香油
 作法：取鍋燒乾後加入沙拉油，再放入大蒜、薑片以中火爆炒至變黃褐色後，再將雞肉和調味料加入，並改以小火燜煮至湯汁收乾後，再加入九層塔略微拌炒即可。",
肉雞腿、老薑、去皮蒜仁、紅辣椒、九層塔、沙拉油,"三杯雞
 食材：肉雞腿，老薑，去皮蒜仁，紅辣椒，九層塔，沙拉油
 調味料：胡麻油，米酒，醬油膏，糖
 作法：1.肉雞腿洗淨切塊狀；老薑切片；紅辣椒切小段，備用。2.熱一鍋，倒入沙拉油燒熱，放入薑片炸至呈金黃色撈出，放入去皮蒜仁同樣炸至金黃色後撈出備用。3.將作法2鍋中的沙拉油倒掉，放入胡麻油、作法2的薑片、蒜仁、作法1的辣椒段以小火略炒。4.再放入作法1的雞腿肉，以中火炒約3分鐘，加入米酒、醬油膏、糖調味。5.將作法4的所有材料倒入砂鍋中，以小火燒煮至湯汁收乾，放入九層塔以筷子拌勻即可。",
肉雞腿、蒜仁、薑片、辣椒片、九層塔葉、洋蔥片,"三杯雞
 食材：肉雞腿，蒜仁，薑片，辣椒片，九層塔葉，洋蔥片
 調味料：黑麻油，砂糖，米酒，醬油膏，水
 作法：1.肉雞腿洗淨瀝乾，剁成約6塊備用。2.取鍋，加入黑麻油燒熱，放入作法1的雞腿塊煎至金黃色，加入蒜仁、薑片.辣椒片、洋蔥片炒香，再放入調味料以小火熬煮約15分鐘，至湯汁濃稠後再加入九層塔葉拌勻即可。",
放山雞、薑片、蒜頭、辣椒段、九層塔、胡麻油,"三杯雞
 食材：放山雞，薑片，蒜頭，辣椒段，九層塔，胡麻油
 調味料：冰糖，醬油，米酒，醬油膏
 作法：1.放山雞洗淨切適當塊狀備用。2.熱鍋，倒入胡麻油，放入薑片以小火爆香，再放入蒜頭爆至微焦金黃。3.加入作法1的雞肉塊，轉大火炒至顏色變白，再加入辣椒段炒勻。4.加入所有調味料炒香，蓋上鍋蓋以小火燜約8分鐘。5.打開鍋蓋拌炒至湯汁微乾，加入九層塔炒軟即可。",
熟雞肉塊、薑片、蒜頭、紅辣椒段、九層塔,"三杯雞
 食材：熟雞肉塊，薑片，蒜頭，紅辣椒段，九層塔
 調味料：醬油，米酒，糖
 作法：1.熱鍋，加入2大匙麻油，放入薑片爆香，再放入蒜頭炒香至蒜頭微焦。2.續於作法1中放入紅辣椒段和雞肉塊拌炒均勻，接著放入調味料拌炒，最後加入九層塔，將雞肉炒至均勻入味即可。",
雞腿、老薑、蒜頭、辣椒、九層塔,"三杯雞
 食材：雞腿，老薑，蒜頭，辣椒，九層塔
 調味料：麻油，醬油，冰糖，米酒
 作法：1.雞腿洗淨、切塊備用。2.老薑切片；蒜頭去外膜、切片；辣椒切片；九層塔洗淨瀝乾，備用。3.熱一鍋，倒入麻油，放入作法2的老薑片、蒜頭片以小火爆炒至上色，再放入作法1的雞塊拌炒。4.再加入其餘調味料炒到醬汁快收乾，再放入九層塔拌炒，即可。",
雞心、薑、蔥、水、雞肝、雞肫、雞腸,"下水湯
 食材：雞心，薑，蔥，水，雞肝，雞肫，雞腸
 調味料：鹽，高鮮味精，香油，米酒
 作法：1.雞內臟洗淨，雞肝切片狀、雞腸切3公分左右段狀。薑、蔥洗淨後切絲備用。2.將所有食材用滾水汆燙一下撈起，取另一湯鍋，加入4杯水，再將汆燙過的食材放入，用大火煮開後，放入薑絲、蔥絲及所有調味料，拌勻後即可上桌食用。",
大雞腿、熟芝麻、蒜花生、香菜葉、薑末、蒜末、蔥花,"口水雞
 食材：大雞腿，熟芝麻，蒜花生，香菜葉，薑末，蒜末，蔥花
 調味料：涼開水，辣豆瓣醬，蠔油，芝麻醬，花生醬，白醋，糖，辣油，花椒粉
 作法：1.雞腿洗淨，放入滾水中以小火煮約20分鐘，再撈出放涼，備用。2.花生碾碎，備用。3.所有調味料拌勻，再加入所有材料B拌勻，即為口水雞醬，備用。4.將作法1的雞腿剁塊盛盤，淋上作法3的怪味醬，再撒上作法2的花生碎、熟芝麻、香菜葉即可。",
土雞肉、蔥段、薑片、當歸、淮山、枸杞,"土窯雞
 食材：土雞肉，蔥段，薑片，當歸，淮山，枸杞
 調味料：鹽，糖，米酒
 作法：1.雞肉洗淨、切塊，放入滾水中汆燙後、撈起瀝乾，裝入專用鋁箔袋中，備用。2.蔥段、薑片洗淨，裝入作法1的袋中；當歸、淮山、枸杞，亦裝入作法1的袋中，接著加入所有調味料後，將封口密封包緊（可用釘書機或棉繩綁緊）。3.將作法2袋內食材搖晃均勻，放入蒸鍋中以大火蒸約30分鐘即可。",
帶骨雞胸肉、地瓜粉、炸油,"士林大雞排
 食材：帶骨雞胸肉，地瓜粉，炸油
 調味料：胡椒鹽
 醃料：A.蔥，薑，蒜仁，水，B.五香粉，糖，味精，醬油膏，小蘇打，米酒
 作法：1.雞胸肉去皮，從胸骨中間對切。2.從雞胸肉側面沿著骨頭橫剖到底，但不要切斷，成一大片。3.將蔥、薑、蒜仁一起放入果汁機中加入水打成汁。4.將作法3打好的汁用濾網將渣渣濾掉。5.在作法4加入所有醃料B，拌勻後成醃汁。6.將作法2的雞排放入作法5的醃汁，蓋好後放入冰箱冷藏，醃約2小時。7.將作法6醃好的雞排取出，放入地瓜粉裏用手掌按壓讓粉沾緊。8.將作法7的雞排翻至另一面，同樣略按壓後，拿起輕輕抖掉多餘的粉，再靜置約1分鐘使粉回潮。9.熱一鍋油至180℃，放入作法8的雞排，炸約2分鐘至表面金黃起鍋，撒上胡椒鹽即可食用。",
烏骨雞、山苦瓜、枸杞、薑片、水,"山苦瓜燉雞湯
 食材：烏骨雞，山苦瓜，枸杞，薑片，水
 調味料：米酒，鹽，雞粉
 作法：1.烏骨雞肉剁小塊；山苦瓜剖開去籽後切小塊。2.將山苦瓜塊與烏骨雞肉塊放入滾水中汆燙去髒後，撈出用冷水沖涼洗淨。3.將作法2的所有材料放入湯鍋中，加入水，再放入枸杞及薑片，以中火煮至滾沸。4.待作法3的雞湯滾沸後撈去浮沫，加入米酒，再轉微火，不蓋鍋蓋煮約30分鐘，關火起鍋後加入鹽與雞粉調味即可。",
土雞、山藥、薑,"山藥枸杞雞湯
 食材：土雞，山藥，薑
 調味料：枸杞，米酒，鹽，白胡椒粉，香油，雞粉，水
 作法：1.土雞洗淨，放入滾水中汆燙過水備用。2.山藥去皮，切大塊狀；薑切片備用。3.取一個沙鍋，放入作法1、2的材料、其餘的材料和所有調味料。4.放在瓦斯爐上以中火煮約40分鐘即可。",
雞腿肉、山藥、當歸、川芎、枸杞、水,"山藥煲土雞
 食材：雞腿肉，山藥，當歸，川芎，枸杞，水
 調味料：米酒，鹽
 作法：1.雞腿肉洗淨，放入沸水中汆燙去除血水，撈起以冷水洗淨，備用。2.山藥洗淨後去皮，切成條狀；當歸、川芎、枸杞以冷水沖洗去除雜質，備用。3.取一砂鍋，放入作法1的雞腿肉、水1800cc以小火煮約30分鐘。4.將作法2的山藥、米酒加入作法3的砂鍋中，以小火續煮約30分鐘，起鍋前加鹽調味即可。",
烏骨雞、山藥、老薑、青蔥、紅棗、水,"山藥燉烏雞湯
 食材：烏骨雞，山藥，老薑，青蔥，紅棗，水
 調味料：鹽，米酒
 作法：1.烏骨雞剁小塊，放入滾水汆燙1分鐘後撈出備用。2.山藥去皮，切滾刀塊，放入滾水汆燙1分鐘後撈出備用。3.老薑去皮切片；青蔥去頭部切段；紅棗洗淨備用。4.將作法1～3的所有食材、水和調味料，放入電子鍋內鍋，按下「煮飯」鍵，煮至開關跳起，掀開鍋蓋撈出薑片、蔥段即可。",
土雞肉、山藥、枸杞、薑片、水,"山藥雞湯
 食材：土雞肉，山藥，枸杞，薑片，水
 調味料：鹽，雞粉
 作法：1.土雞肉剁小塊，放入滾水中汆燙去髒，再撈出用冷水沖涼洗淨，備用。2.山藥去皮、切粗條，與作法1處理好的土雞肉塊、薑片、枸杞一起放入湯盅中，再加入水，蓋上保鮮膜。3.將作法2的湯盅放入蒸籠中，以中火蒸約1小時，關火取出後加入所有調味料調味即可。",
山藥、雞胸肉、蔥花,"山藥雞絲
 食材：山藥，雞胸肉，蔥花
 調味料：辣油，蠔油，涼開水，細砂糖
 作法：1.雞胸肉洗淨，放入滾沸的水中燙熟後剝絲備用。2.山藥去皮後切絲，放入滾沸的水中汆燙約5秒，撈起瀝乾水分盛盤。3.所有調味料拌勻成醬汁，將作法1的雞絲擺在作法2的山藥上，淋上醬汁再撒上蔥花即可。",
干貝、竹笙、土雞、薑片,"干貝竹笙雞湯
 食材：干貝，竹笙，土雞，薑片
 調味料：鹽，雞精粉，料理米酒
 作法：1.將乾備用清水洗淨後放入蒸鍋大火蒸30分鐘。2.將土雞用熱水汆燙3分鐘至皮縮後撈出過冷水備用。3.將竹笙泡水約20分鐘至軟，撈出切成2公分段狀，再用滾水汆燙1分鐘，撈出過冷水，用清水洗淨竹笙內的細砂備用。4.取一砂鍋，加6碗水，把作法1～3的干貝、土雞、竹笙與薑片和所有調味料放入砂鍋中，大火煮60分鐘即可",
棒腿、干貝、蓮藕、蓮子、薑片、水,"干貝蓮藕煲棒腿
 食材：棒腿，干貝，蓮藕，蓮子，薑片，水
 調味料：鹽，米酒
 作法：1.棒腿洗淨，放入沸水中汆燙去血水，撈起以冷水洗淨，備用。2.干貝以米酒泡軟；蓮藕去皮、切片狀；蓮子洗淨，備用。3.取一砂鍋，放入水1600cc，以大火煮沸後，加入所有材料轉小火煮約1小時，起鍋前加鹽調味即可。",
雞胗、蒜末、蔥絲、薑絲、辣椒絲、香菜段、洋蔥絲、米酒、水,"五味拌雞胗
 食材：雞胗，蒜末，蔥絲，薑絲，辣椒絲，香菜段，洋蔥絲，米酒，水
 調味料：醬油，醬油膏，蕃茄醬，烏醋，糖，香油
 作法：1.雞胗洗淨後，放入沸水中略微汆燙，撈出沖水備用 2.將作法1的雞胗放入鍋中，倒入米酒與水煮滾，再以小火煮熟，撈出後泡冰水，切片備用。 3.所有調味料加入蒜末拌勻，倒入作法2的雞胗拌均勻，再放入蔥絲、薑絲、辣椒絲、香菜段、洋蔥絲拌勻即可。",
熟涼麵、雞胸肉、小黃瓜絲、蛋皮絲、五味醬、蔥花、紅辣椒末,"五味涼麵
 食材：熟涼麵，雞胸肉，小黃瓜絲，蛋皮絲，五味醬，蔥花，紅辣椒末
 作法：1.將雞胸肉放入剛滾沸的水中，即熄火，以滾水的餘溫肉慢慢燙熟後，撈起瀝乾，在雞肉表面抹上少許鹽後放涼，最後用手撕成絲狀備用。2.小黃瓜絲泡入冷開水中至變脆，瀝乾水分備用。3.熟涼麵放入盤中，麵上排入作法1的雞肉絲、作法2的小黃瓜絲和蛋皮絲，再均勻淋上適量五味醬，最後撒上蔥花和紅辣椒末即可。",
裏肌肉、太白粉、魚漿、洋蔥丁、胡蘿蔔丁、豆皮、豬油、醃小黃瓜、蕃茄醬,"五香雞卷
 食材：裏肌肉，太白粉，魚漿，洋蔥丁，胡蘿蔔丁，豆皮，豬油，醃小黃瓜，蕃茄醬
 調味料：蠔油，糖，米酒，五香粉，味精
 作法：1.裏肌肉洗淨瀝乾水分後，切成數條1立方公分大小的長條狀，再與所有調味料一起醃約10分鐘至入味，最後均勻沾裹上少量的太白粉備用。2.將魚漿與洋蔥丁、胡蘿蔔丁一起拌勻成餡料備用。3.取一張豆皮攤平並一切為二，包入適量餡料後，中間放入一條作法1的裏肌肉，捲起成細長條狀，收口固定，重覆此步驟至材料用畢。4.熱鍋，放入豬油以中火燒熱至160℃，慢慢放入將作法2的雞卷炸至表面呈金黃色時撈起瀝乾油份，待涼約1分鐘後以斜刀切片，食用時佐以醃小黃瓜及蕃茄醬即可。",
雞肉塊、紅蘿蔔、馬鈴薯、洋蔥、牛蒡、香菇、甜豆筴、市售高湯,"什錦燉煮
 食材：雞肉塊，紅蘿蔔，馬鈴薯，洋蔥，牛蒡，香菇，甜豆筴，市售高湯
 調味料：醬油，米酒，味醂，糖
 作法：1.紅蘿蔔、馬鈴薯洗淨，去皮切塊；洋蔥切片；牛蒡去皮切塊；香菇泡發後去梗；甜豆筴洗淨，去頭尾，備用。2.熱鍋，加入2大匙食用油，放入雞肉塊炒至肉變色後放入洋蔥、香菇炒香，再加入紅蘿蔔塊、馬鈴薯塊和牛蒡塊略炒均勻。3.續於作法2中加入調味料、高湯拌勻煮滾，以小火煮至材料入味，最後放入甜豆筴再煮約1分鐘即可。",
全雞,"手扒烤雞
 食材：全雞
 調味料：A.鹽，醬油，五香粉，B.蔥，薑，米酒，蒜頭
 作法：1.全雞洗淨、去毛，備用。2.將醃料A混勻，取適量用力抹勻在作法1的雞身內部。3.蔥、薑拍碎，加入米酒拌勻，取適量抹在作法2的雞身外，再將蔥、薑、蒜頭塞入雞身內，並加入2大匙汁於雞身內，一起醃漬浸泡。4.將作法3的雞放入已預熱的烤箱中，以上火150℃/下火100℃烤約90分鐘後取出即可。",
肉雞,"手扒雞
 食材：肉雞
 調味料：A.蔥，辣椒，蒜頭，B.白胡椒粉，醬油，米酒，糖，八角，滷包，開水
 作法：1.所有醃料A拍碎，與醃料B混合拌勻均勻，備用。2.將肉雞清除內臟洗淨後，放入作法1中浸泡約2小時，醃漬入味，備用。3.烤箱預熱至170℃，放入作法2的肉雞烤約40分鐘，至表面金黃熟透後取出。4.食用時可戴手套，用手撕取雞肉食用即可。",
雞腿、薑、大蒜,"文昌油雞
 食材：雞腿，薑，大蒜
 調味料：鹽，鮮雞粉，細砂糖，米酒，冷開水，白胡椒粉
 作法：1.雞腿洗淨，放入滾水中燙煮至完全熟透，撈出瀝乾水分，切塊排入盤中備用。2.薑、大蒜均洗淨、去皮、切末，放入大碗中加入所有調味料拌勻，淋在作法1雞腿肉塊上即可。",
雞肉、高麗菜、韭菜、紅蘿蔔、香菇、日式年糕、日式高湯,"日式年糕湯
 食材：雞肉，高麗菜，韭菜，紅蘿蔔，香菇，日式年糕，日式高湯
 調味料：鹽
 作法：1.雞肉洗淨切小丁，高麗菜洗淨後切片，韭菜切5公分左右長段，紅蘿蔔、香菇則切片備用。2.雞肉用滾水汆燙過，再用冷水沖洗後備用。3.取一湯鍋，將高湯放入煮開，再將所有材料放入一起煮，等到所有材料都熟透後，用鹽調味即可。",
雞腿、咖哩粉、鹽、馬鈴薯、紅蘿蔔、洋蔥、蘋果、水、沙拉油、麵粉、太白粉水,"日式咖哩雞
 食材：雞腿，咖哩粉，鹽，馬鈴薯，紅蘿蔔，洋蔥，蘋果，水，沙拉油，麵粉，太白粉水
 調味料：咖哩粉，鹽，糖
 作法：1.將雞腿洗淨後用刀子剁成小塊，再用咖哩粉、鹽一起醃漬30分鐘。2.馬鈴薯和紅蘿蔔分別切滾刀塊備用；洋蔥也切片備用。3.將蘋果、水一起放入果汁機中攪勻成蘋果汁備用。4.取一鍋，加入沙拉油熱鍋，放入麵粉和咖哩粉以小火炒香，再放入雞肉塊、馬鈴薯塊、紅蘿蔔塊、洋蔥片，以中火炒1分鐘。5.繼續加入作法2的蘋果汁和所有的調味料，轉中火煮6分鐘即可；起鍋前如果不夠濃稠，可再加入太白粉水芶芡。",
木耳、去骨雞腿肉、紅番茄、蒜頭、沙拉油,"木須雞肉番茄燴飯
 食材：木耳，去骨雞腿肉，紅番茄，蒜頭，沙拉油
 調味料：番茄醬，醬油，高湯，太白粉水，香油
 醃料：鹽，胡椒粉，米酒
 作法：1.木耳切片；番茄切成小塊；蒜頭切片；去骨雞腿肉切成小塊，以醃料拌勻醃漬備用。2.熱鍋加入沙拉油，放入雞腿肉塊煎至焦香，再加入蒜片與番茄翻炒。3.續於作法2鍋中加入番茄醬、醬油、高湯和木耳片，煮至木耳片香軟入味，再以太白粉水勾芡，起鍋前淋上香油，淋在白飯上即可食用。",
